"","klasifikasi","score","text"
"1","Negatif",-1,"  lakukan transaksi  tunai dedah   bahaya sebar   prolintasprihatin staysafe kekaltenang hapuscovid perintahkawalanpergerakan movementcontrolorder stayathome kitajagakita akleh gce lksa silk suke dash pictwittercomsexiybljm"
"2","Positif",0," angka kasus  positif   tawau   zon merah    putus doa mohon lindung  allah swt stayathome"
"3","Negatif",-1," buzzerpolitik musuh   gass  bossscipengclan covidout lawanviruspolitikcorona lawanbuzzerpolitik pictwittercomrayiwodth"
"4","Negatif",-4," nyata resmi who  maret ya  is not airborne   sebar  droplet  percik air liur  cross check  buka instagram resmi who  mbak seleb  iqro   kalo  ngei diaiin pakai google ğÿ˜„pictwittercomvmqntwupg"
"5","Negatif",-1,"giat pam pemulangan santri poncol  antisipasi marak wabah   ansorlawancorona ansorponcol  banser pictwittercomrausdzwt"
"6","Negatif",-1," musim  warga   dadak  repoer lebay  tata bahasa    amburadul layak kang obat  tonton berita tv merah ğÿ˜‚"
"7","Negatif",-2," inisiatif ketua bpd desa tanah harap  terjun langsung cegah  â€"
"8","Negatif",-1,"waspada  sumber tular   usia  â€"
"9","Positif",1,"tbh    nyer punca  raja malaysia sok kali  nk layan  â€œsenimanâ€   g jahanam hidup nk glamour mudah  senang pui what   think  are sok special then rakyat   giat seni"
"10","Negatif",-4,"mari  bahu bahu henti sebar  usaha pemerintah  sia kalo   patuh stayathomeandstaysafe ya kang ğÿ™ğÿ™"
"11","Positif",0,"serius  pasien pdp  tinggal duluan  hasil   nyata hasil positif  masuk   data mati akibat "
"12","Negatif",-1,"situasi   butuh respons     inovatif perkeretaapian india  coba   gerbong  ruang isolasi  lawan  kasusiap   menang lawan  â€"
"13","Negatif",-1,"semoga  bangsa jajah anjing  kene    kecuali â€"
"14","Positif",1,"pekan  lekas sembuh indonesia ğÿ— covidpictwittercomfnxxdbhxf"
"15","Positif",3,"  kasihan  tenaga medis  walah juang matimatian  nyelametin nyawa    please  bikin jubir menkasus kasih berita  orang  positif   sumpah  sesak banget ğÿ˜ lockdownataumusnah dirumahaja covidpictwittercomuzdtwavlf"
"16","Positif",0,"wanita   indonesia  korban   pictwittercomwuygbe"
"17","Positif",0,"makna    nang   ye ğÿ˜ğÿ˜"
"18","Negatif",-2,"wes  rek manutno anjuran pemerintah ojo keluyurah   nek   stay at home  ya  nek kowe kenek  ya  nyalahno pemerintah  kowe dewe seng angel dikandani ğÿ˜"
"19","Negatif",-2,"   hasil  pemerintah pusat  takut lockdown   hasil   buka korban   tutup   data fikstif arsyg  rakyat senang  kabar    hasil bohong rakyatpictwittercomyeerpomuoh"
"20","Positif",1,"besoksenin     horor   hidup gue semenjak "
"21","Negatif",-1,"    ajar kitamana   pakai     pakai ğÿ˜šâœœğÿ"
"22","Positif",0,"i hope he is doing well and i h everything   jelah nak share     is called        "
"23","Negatif",-2,"halo sobatrbpn kali  kantor peanahan kabupaten pulau sula  beri informasi kena prosedur ayan peanahandalam dukung upaya cegah wabah   desease  atrbpnkepsula atrbpnkinilebihbaik atrbpnmajudanmodern pictwittercomgqmbmokfe"
"24","Positif",0,"weyi aa    upaya pencegehan pandemi "
"25","Negatif",-2,"hm   bingung    until tomorrow  caption feed teman instagram lepas   challenge    asumsi kalo until tomorrow pei simulasi  sebar pandemik  dirumahaja stayathomeandstaysafe staysafe covidpictwittercomvlhyn"
"26","Negatif",-2,"rindu   orang anak buah lelaki plus orang baby girl âï covidpictwittercommhwiqm"
"27","Positif",0,"biar tekor   nyohor ğÿ˜…ğÿ˜…ğÿ˜…  karantinawilayah â€"
"28","Positif",1," apaaaa pengin banget mantaiiii nyunseetttt chilllsesemoga  until tomorrow ğÿ˜pictwittercomnfxatba â€“ at double six beach"
"29","Negatif",-3,"catat  kasir pt pismatex kalong gaji   buruh    sumbang penuh  bantu musibah  tolong belikan masker sanitizer alat   butuh rumah sakit  harap    teman karyawan  dprpictwittercomjkncqtoh"
"30","Negatif",-3," gue  bohong   lihat negara   wabah    nanggung rakyat     kembang  kota    rakyat   ogah bohong"
"31","Positif",0,"pengin rasha  tid hee babb   dai  i sas ààààˆààà•àà  â€"
"32","Negatif",-1," bosan lepak   nak   jumpa  batang pengin  helai as  meja  hasil  eceyy ayat please stay home guys ğÿ˜‰ stayathomeandstaysafe  kitajagakita wecandothis doodle a pictwittercomxwyxchjul"
"33","Negatif",-1,"kapolri serukanmari   lawan  â€ pictwittercomgbbgu"
"34","Positif",2,"â€ kontribusi    tugas  sederhana     peduli   pulih  mari dampak     nasib   cekik semoga kenan ğÿ™ğÿ"
"35","Negatif",-2," panik   waspadasesemoga pandemi     teratasidan dunia  pulihmakanya  anjuran who ya guys  batas aktivitas  luarkita stayathome dirumahaja bukanâ€ â€"
"36","Positif",2,"  minggu status pasien  nyata positif  â€"
"37","Positif",1,"hikmah     ajar kuat iman   hidup bersih tegur  cela     sang khalik semoga ummat manusia  hidayah  mati  urus"
"38","Negatif",-2," kalaumengaku    deteksi     logika dki  wilayah   minim wabah       a  makan  kenyang  nyata  lapar a  bohong"
"39","Positif",0,"fpkb dprd kbb desak pemda kbb  refocusing anggar  penanganan maksimal  â€ pictwittercomelyguarvej"
"40","Negatif",-1,"pakar unair temu â€˜nitricoâ€™ awan   produksi â€ pictwittercomzyyayfcv"
"41","Positif",1," rawat  tinggal pasien   tasikmalaya  duga papar  lembang â€ via"
